Kategoria,Data,Suma jm.,Suma jm. PLN,Suma jm. EUR,Suma jm. USD,Wartość suma w PLN,Wartość PLN,Wartość EUR,Wartość USD,"Wartość EUR, PLN",Kurs euro
adfloor,20230101,1,1,,,8000,8000,,,"0,00 zł","4,32 zł"
adfloor,20230201,2,1,1,,38038,20000,3800,,"16 418,64 zł","4,32 zł"
adfloor,20240201,1,1,,,16255,16255,,,"0,00 zł","4,32 zł"
adfloor,20230301,1,,1,,6025,,1285,,"5 552,09 zł","4,32 zł"
adfloor,20230601,1,1,,,47581,47581,,,"0,00 zł","4,32 zł"
adfloor,20230701,1,1,,,8100,8100,,,"0,00 zł","4,32 zł"
adfloor,20230801,1,1,,,39027,39027,,,"0,00 zł","4,32 zł"
adfloor,20231001,1,1,,,1400,1400,,,"0,00 zł","4,32 zł"
adfloor,20231101,4,4,,,28999,28999,,,"0,00 zł","4,32 zł"
adfloor akcesoria,20230201,1,1,,,230,230,,,"0,00 zł","4,32 zł"
adfloor akcesoria,20230501,36,36,,,6804,6804,,,"0,00 zł","4,32 zł"
adfloor akcesoria,20230701,4,4,,,960,960,,,"0,00 zł","4,32 zł"
adfloor akcesoria,20231001,18,18,,,2196,2196,,,"0,00 zł","4,32 zł"
adfloor akcesoria,20231201,12,12,,,560,560,,,"0,00 zł","4,32 zł"
bramy pneumatyczne,20240101,5,,5,,12038,,2767,,"11 955,36 zł","4,32 zł"
bramy pneumatyczne,20230101,1,,1,,4680,,996,,"4 303,41 zł","4,32 zł"
bramy pneumatyczne,20230201,3,2,1,,12563,7794,996,,"4 303,41 zł","4,32 zł"
bramy pneumatyczne,20240201,6,2,4,,20824,8267,2902,,"12 538,66 zł","4,32 zł"
bramy pneumatyczne,20230301,3,2,1,,12979,7480,1175,,"5 076,82 zł","4,32 zł"
bramy pneumatyczne,20230401,8,1,7,,34224,4180,6466,,"27 937,61 zł","4,32 zł"
bramy pneumatyczne,20230501,8,3,5,,32330,12192,4430,,"19 140,68 zł","4,32 zł"
bramy pneumatyczne,20230601,12,5,7,,50426,19180,7016,,"30 314,00 zł","4,32 zł"
bramy pneumatyczne,20230701,7,2,5,,32390,7106,5686,,"24 567,47 zł","4,32 zł"
bramy pneumatyczne,20230801,9,5,4,,34589,19268,3430,,"14 819,98 zł","4,32 zł"
bramy pneumatyczne,20230901,2,2,,,7106,7106,,,"0,00 zł","4,32 zł"
bramy pneumatyczne,20231001,1,,1,,4089,,893,,"3 858,38 zł","4,32 zł"
bramy pneumatyczne,20231101,2,1,1,,8335,3685,1068,,"4 614,50 zł","4,32 zł"
bramy pneumatyczne,20231201,4,3,1,,16882,12237,1068,,"4 614,50 zł","4,32 zł"
classic,20231101,250,250,,,1125,1125,,,"0,00 zł","4,32 zł"
digital,20240101,1,1,,,12350,12350,,,"0,00 zł","4,32 zł"
digital,20230201,2,1,1,,21016,9800,2350,,"10 153,63 zł","4,32 zł"
digital,20240201,4,3,1,,51061,36600,3350,,"14 474,33 zł","4,32 zł"
digital,20230301,4,3,1,,46870,33950,2750,,"11 881,91 zł","4,32 zł"
digital,20230401,27,1,26,,36908,12050,5414,,"23 392,24 zł","4,32 zł"
digital,20230501,4,4,,,44400,44400,,,"0,00 zł","4,32 zł"
digital,20230601,4,4,,,43400,43400,,,"0,00 zł","4,32 zł"
digital,20230701,1,1,,,12050,12050,,,"0,00 zł","4,32 zł"
digital,20231001,2,,2,,18619,,4050,,"17 498,81 zł","4,32 zł"
digital,20231101,2,2,,,18510,18510,,,"0,00 zł","4,32 zł"
digital,20231201,4,3,1,,33762,30400,780,,"3 370,14 zł","4,32 zł"
flagi,20240101,126,111,15,,20332,18501,420,,"1 814,69 zł","4,32 zł"
flagi,20230101,145,53,92,,18241,8872,1986,,"8 580,90 zł","4,32 zł"
flagi,20230201,92,82,10,,18800,16638,454,,"1 961,60 zł","4,32 zł"
flagi,20240201,122,112,10,,21485,19790,392,,"1 693,71 zł","4,32 zł"
flagi,20230301,215,201,14,,45223,40479,1011,,"4 368,22 zł","4,32 zł"
flagi,20230401,199,180,19,,55140,48256,1481,,"6 398,95 zł","4,32 zł"
flagi,20230501,496,460,36,,107618,98806,1937,,"8 369,19 zł","4,32 zł"
flagi,20230601,340,261,77,2,78677,62880,3487,54,"15 066,26 zł","4,32 zł"
flagi,20230701,328,276,52,,78084,66966,2502,,"10 810,38 zł","4,32 zł"
flagi,20230801,258,244,14,,64755,61237,786,,"3 396,07 zł","4,32 zł"
